service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
251113_1111100,1,0,0,0,0,0,0,20131125,20131125
251113_0111100,1,0,0,0,0,0,0,20131125,20131125
251113_1111000,1,0,0,0,0,0,0,20131125,20131125
261113_1111100,0,1,0,0,0,0,0,20131126,20131126
261113_0111100,0,1,0,0,0,0,0,20131126,20131126
261113_1111000,0,1,0,0,0,0,0,20131126,20131126
271113_1111100,0,0,1,0,0,0,0,20131127,20131127
271113_0111100,0,0,1,0,0,0,0,20131127,20131127
271113_1111000,0,0,1,0,0,0,0,20131127,20131127
281113_1111100,0,0,0,1,0,0,0,20131128,20131128
281113_0111100,0,0,0,1,0,0,0,20131128,20131128
281113_0000100,0,0,0,1,0,0,0,20131128,20131128
291113_0000010,0,0,0,0,1,0,0,20131129,20131129
301113_0000001,0,0,0,0,0,1,0,20131130,20131130
011213_1111100,0,0,0,0,0,0,1,20131201,20131201
011213_1000000,0,0,0,0,0,0,1,20131201,20131201
011213_1111000,0,0,0,0,0,0,1,20131201,20131201
011213_1111110,0,0,0,0,0,0,1,20131201,20131201
021213_1111100,1,0,0,0,0,0,0,20131202,20131202
021213_0111100,1,0,0,0,0,0,0,20131202,20131202
021213_1111000,1,0,0,0,0,0,0,20131202,20131202
031213_1111100,0,1,0,0,0,0,0,20131203,20131203
031213_0111100,0,1,0,0,0,0,0,20131203,20131203
031213_1111000,0,1,0,0,0,0,0,20131203,20131203
041213_1111100,0,0,1,0,0,0,0,20131204,20131204
041213_0111100,0,0,1,0,0,0,0,20131204,20131204
041213_1111000,0,0,1,0,0,0,0,20131204,20131204
051213_1111100,0,0,0,1,0,0,0,20131205,20131205
051213_0111100,0,0,0,1,0,0,0,20131205,20131205
051213_0000100,0,0,0,1,0,0,0,20131205,20131205
061213_0000010,0,0,0,0,1,0,0,20131206,20131206
071213_0000001,0,0,0,0,0,1,0,20131207,20131207
081213_1111100,0,0,0,0,0,0,1,20131208,20131208
081213_1000000,0,0,0,0,0,0,1,20131208,20131208
081213_1111000,0,0,0,0,0,0,1,20131208,20131208
091213_1111100,1,0,0,0,0,0,0,20131209,20131209
091213_0111100,1,0,0,0,0,0,0,20131209,20131209
091213_1111000,1,0,0,0,0,0,0,20131209,20131209
101213_1111100,0,1,0,0,0,0,0,20131210,20131210
101213_0111100,0,1,0,0,0,0,0,20131210,20131210
101213_1111000,0,1,0,0,0,0,0,20131210,20131210
111213_1111100,0,0,1,0,0,0,0,20131211,20131211
111213_0111100,0,0,1,0,0,0,0,20131211,20131211
111213_1111000,0,0,1,0,0,0,0,20131211,20131211
121213_1111100,0,0,0,1,0,0,0,20131212,20131212
121213_0111100,0,0,0,1,0,0,0,20131212,20131212
121213_0000100,0,0,0,1,0,0,0,20131212,20131212
131213_0000010,0,0,0,0,1,0,0,20131213,20131213
141213_0000001,0,0,0,0,0,1,0,20131214,20131214
151213_1111100,0,0,0,0,0,0,1,20131215,20131215
151213_1000000,0,0,0,0,0,0,1,20131215,20131215
151213_1111000,0,0,0,0,0,0,1,20131215,20131215
161213_1111100,1,0,0,0,0,0,0,20131216,20131216
161213_0111100,1,0,0,0,0,0,0,20131216,20131216
161213_1111000,1,0,0,0,0,0,0,20131216,20131216
171213_1111100,0,1,0,0,0,0,0,20131217,20131217
171213_0111100,0,1,0,0,0,0,0,20131217,20131217
171213_1111000,0,1,0,0,0,0,0,20131217,20131217
181213_1111100,0,0,1,0,0,0,0,20131218,20131218
181213_0111100,0,0,1,0,0,0,0,20131218,20131218
181213_1111000,0,0,1,0,0,0,0,20131218,20131218
191213_1111100,0,0,0,1,0,0,0,20131219,20131219
191213_0111100,0,0,0,1,0,0,0,20131219,20131219
191213_0000100,0,0,0,1,0,0,0,20131219,20131219
201213_0000010,0,0,0,0,1,0,0,20131220,20131220
211213_0000001,0,0,0,0,0,1,0,20131221,20131221
221213_1111100,0,0,0,0,0,0,1,20131222,20131222
221213_1000000,0,0,0,0,0,0,1,20131222,20131222
221213_1111000,0,0,0,0,0,0,1,20131222,20131222
231213_1111100,1,0,0,0,0,0,0,20131223,20131223
