route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
52,010114_0111100,010114_00111,Be'er Sheva Center,1,51_00002,2
52,010114_0111100,010114_00113,Be'er Sheva Center,1,51_00002,2
53,010114_0111100,010114_00405,Haifa Hof HaKarmel (Razi'el),1,53_00001,2
53,010114_0111100,010114_00409,Haifa Hof HaKarmel (Razi'el),1,53_00001,2
53,010114_0111100,010114_00412,Kiryat Motzkin,0,53_00002,2
51,010114_0111100,010114_00045,Modiin Center,1,51_00006,2
54,010114_0111100,010114_00944,Natanya,0,54_00012,2
54,010114_0111100,010114_00955,Rehovot E. Hadar,1,54_00016,2
54,010114_0111100,010114_00957,Rehovot E. Hadar,1,54_00016,2
52,010114_1111000,010114_00114,Tel Aviv Center - Savidor,0,51_00003,2
52,010114_1111000,010114_00117,Be'er Sheva Center,1,51_00002,2
52,010114_1111000,010114_00121,Be'er Sheva Center,1,52_00005,2
54,010114_1111000,010114_00284,Tel Aviv Center - Savidor,0,54_00010,2
60,010114_1111100,010114_00010,Nahariyya,0,60_00002,2
52,010114_1111100,010114_00100,Nahariyya,0,52_00001,2
52,010114_1111100,010114_00101,Be'er Sheva Center,1,52_00002,2
52,010114_1111100,010114_00102,Nahariyya,0,52_00001,2
52,010114_1111100,010114_00103,Be'er Sheva Center,1,52_00002,2
52,010114_1111100,010114_00104,Haifa Center HaShmona,0,52_00003,2
52,010114_1111100,010114_00105,Be'er Sheva Center,1,52_00002,2
52,010114_1111100,010114_00106,Tel Aviv Center - Savidor,0,51_00003,2
52,010114_1111100,010114_00107,Be'er Sheva Center,1,52_00002,2
52,010114_1111100,010114_00108,Tel Aviv Center - Savidor,0,51_00003,2
52,010114_1111100,010114_00109,Be'er Sheva Center,1,52_00002,2
60,010114_1111100,010114_00011,Be'er Sheva Center,1,60_00004,2
52,010114_1111100,010114_00110,Tel Aviv Center - Savidor,0,51_00003,2
52,010114_1111100,010114_00112,Kiryat Motzkin,0,52_00004,2
52,010114_1111100,010114_00115,Be'er Sheva Center,1,51_00002,2
52,010114_1111100,010114_00116,Nahariyya,0,52_00001,2
